Name,Points,PerKr,URL,ImgURL
BabyBjörn,50,100,https://onlineshopping.flysas.com/se/babybjorn/18814/,https://onlineshopping.flysas.com/Images/Shops/babybjorn/se.jpg
Babyface,25,100,https://onlineshopping.flysas.com/se/babyface/9258/,https://onlineshopping.flysas.com/Images/Shops/babyface/se.jpg
Babyshop,25,100,https://onlineshopping.flysas.com/se/babyshop/6916/,https://onlineshopping.flysas.com/Images/Shops/babyshop/se.jpg
Bagaren och Kocken,25,100,https://onlineshopping.flysas.com/se/bagaren-och-kocken/7881/,https://onlineshopping.flysas.com/Images/Shops/bagaren-och-kocken/se.jpg
Bang & Olufsen,25,100,https://onlineshopping.flysas.com/se/bang-olufsen/19562/,https://onlineshopping.flysas.com/Images/Shops/bang-olufsen/se.jpg
Bangerhead,25,100,https://onlineshopping.flysas.com/se/bangerhead/6917/,https://onlineshopping.flysas.com/Images/Shops/bangerhead/se.jpg
Banggood,25,100,https://onlineshopping.flysas.com/se/banggood/19533/,https://onlineshopping.flysas.com/Images/Shops/banggood/se.jpg
Båtlagret.se,25,100,https://onlineshopping.flysas.com/se/batlagret.se/19300/,https://onlineshopping.flysas.com/Images/Shops/batlagret.se/se.jpg
Batteries-Online,25,100,https://onlineshopping.flysas.com/se/batteries-online.se/19078/,https://onlineshopping.flysas.com/Images/Shops/batteries-online.se/se.jpg
Batteriexperten,50,100,https://onlineshopping.flysas.com/se/batteriexperten/7033/,https://onlineshopping.flysas.com/Images/Shops/batteriexperten/se.jpg
Bättre Nätter,25,100,https://onlineshopping.flysas.com/se/bedre-nætter/18174/,https://onlineshopping.flysas.com/Images/Shops/bedre-nætter/se.jpg
Beardshop,50,100,https://onlineshopping.flysas.com/se/beardshop/18873/,https://onlineshopping.flysas.com/Images/Shops/beardshop/se.jpg
Beautycos,25,100,https://onlineshopping.flysas.com/se/beautycos/8015/,https://onlineshopping.flysas.com/Images/Shops/beautycos/se.jpg
Beijer Byggmaterial,25,100,https://onlineshopping.flysas.com/se/beijer-byggmaterial/8052/,https://onlineshopping.flysas.com/Images/Shops/beijer-byggmaterial/se.jpg
Bemz,50,100,https://onlineshopping.flysas.com/se/bemz/9169/,https://onlineshopping.flysas.com/Images/Shops/bemz/se.jpg
Bestcanvas,50,100,https://onlineshopping.flysas.com/se/bestcanvas/9303/,https://onlineshopping.flysas.com/Images/Shops/bestcanvas/se.jpg
Bestories,25,100,https://onlineshopping.flysas.com/se/bestories/19419/,https://onlineshopping.flysas.com/Images/Shops/bestories/se.jpg
Bestseller,50,100,https://onlineshopping.flysas.com/se/bestseller-dk-+-se/18657/,https://onlineshopping.flysas.com/Images/Shops/bestseller-dk-+-se/se.jpg
Better Feast,1,,https://onlineshopping.flysas.com/se/betterfeast/19383/,https://onlineshopping.flysas.com/Images/Shops/betterfeast/se.jpg
Bikvy,50,100,https://onlineshopping.flysas.com/se/bikvy/19575/,https://onlineshopping.flysas.com/Images/Shops/bikvy/se.jpg
Bildelar-Online,25,100,https://onlineshopping.flysas.com/se/bildelar-online--sas/18727/,https://onlineshopping.flysas.com/Images/Shops/bildelar-online--sas/se.jpg
Billig Fitness,25,100,https://onlineshopping.flysas.com/se/billig-fitness/19561/,https://onlineshopping.flysas.com/Images/Shops/billig-fitness/se.jpg
Billiga-tester.se,50,100,https://onlineshopping.flysas.com/se/billiga-tester.se/19298/,https://onlineshopping.flysas.com/Images/Shops/billiga-tester.se/se.jpg
Billigteknik,25,100,https://onlineshopping.flysas.com/se/billigteknik/8674/,https://onlineshopping.flysas.com/Images/Shops/billigteknik/se.jpg
Bimago,50,100,https://onlineshopping.flysas.com/se/bimago/18853/,https://onlineshopping.flysas.com/Images/Shops/bimago/se.jpg
